query,response_before,response_after
"Summarize the following conversation: #Person1#: How many persons are there in your family? #Person2#: There are three, my parents and I. #Person1#: Do you live together? #Person2#: No, I live alone in a flat near my work place. #Person1#: Do you often go back to see your parents. #Person2#: Yes, almost once a week. Summary:","<pad> Natural Business Discover Online and Where to Locate a Supplier. Find key contact information and contact information on Marie Lewis Redwood (Mary Hopkins), sometimes known as Marie Lewis Redwood. Place the Request by . To the Feedback section of Social Media, click on the profile picture you wish to include and click on the Driver Information Opt in.</s>",<pad> #Person1#: same family who live alone do not have children</s>
"Summarize the following conversation: #Person1#: Hey Mark. What are you doing? #Person2#: Just watching some TV. #Person1#: Anything interesting on? #Person2#: Not really. Just watching the sports highlight on ESPN. #Person1#: So I take it you're pretty bored too. #Person2#: Just killing time until I find something to do. What are you going to do? #Person1#: It's Saturday and we are sitting at home doing nothing. What's wrong with us? #Person2#: You wanna shoot some hoops? #Person1#: I already tried to call up some of the guys, but they are all busy. #Person2#: Where's your girlfriend? I thought you were going out with her today. #Person1#: She's out shopping with her friends. #Person2#: Let's go to Starbucks and think of something to do then. #Person1#: Aright. Do you have any cigarettes? #Person2#: I only have a couple left. Why don't you pick some up on the way. #Person1#: Ok. See you there in about 30 minutes. #Person2#: Aright. See you there. Summary:",<pad> So many people go to Starbucks for a smoke's-free day today.</s>,"<pad> Sitting at Home watching ESPN, and Prime cut in gym.</s>"
"Summarize the following conversation: #Person1#: Hello, is this apartment management? #Person2#: Can I help you? #Person1#: Yes, this is the tenant of apartment ten. I guess my kitchen sink is clogging up again, and so is the bathtub. #Person2#: Alright. I'll send someone over tomorrow. #Person1#: Um, I'd really appreciate it if you send someone over to fix it today. It's really a bother. I can't cook or take a shower. #Person2#: Fine, I'll be up in a few minutes. #Person1#: Thanks, I appreciated it. Summary:",<pad> @FanxProPERR-CHURCH@BBCG/The_Apartment_Next_the_library@BBCG ################### A presiding tenant requests that a customer contact him/her.</s>,"<pad> On January 6, ground 7, a tenant notice stated that #QoE Apartment Tenkill at Fort Madison and the associated room for rent was no longer available for lease. #Person1#: <unk> We wouldn't visit your apartment unless you owned the required premises; if you owned the other one there were already monthly accounts in the same tenant group because rent VA was shared and was living in the cooperative. #Person2#: Thats right. If you let people stay in the suite, they get more of it. #Person3knollfldrp</s>"
"Summarize the following conversation: #Person1#: I just bought a new dress. What do you think of it? #Person2#: You look really great in it. So are you going to a job interview or a party? #Person1#: No, I was invited to give a talk in my school. #Person2#: So how much did you pay for it? #Person1#: I pay just $70 for it. I saved $30. #Person2#: That's really a bargain. #Person1#: You're right. Well, what did you do while I was out shopping? #Person2#: I watched TV for a while and then I did some reading. It wasn't a very interesting book so I just read a few pages. Then I took a shower. #Person1#: I thought you said you were going to see Mike. #Person2#: I'll go and visit him at his home tomorrow. He'll return home tomorrow morning. #Person1#: I'm glad he can finally returned home after that accident. Summary:","<pad> On Friday at school, Person1 gave a talk.</s>",<pad> Say so you bought a new dress you'd bought if you wish.</s>
"Summarize the following conversation: #Person1#: What's your favorite movie? #Person2#: My favorite movie is Superbad. #Person1#: Oh, why is that? #Person2#: It's the funniest movie that I've ever seen. #Person1#: That's true. It is a very funny movie. #Person2#: You've seen it before? #Person1#: Yes, I saw that movie the first day it came out in theaters. #Person2#: Didn't you laugh through the whole movie? I did. #Person1#: Me too. That movie brought tears to my eyes. #Person2#: Mine too. #Person1#: I have it on DVD at my house if you want to come over and watch it. #Person2#: Sure, let's go. Summary:","<pad> Nearly three weeks ago, Old Man McCormick contacted Person 2 to come and see his favorite movie, Superbad.</s>",<pad> The post someone calls carries all day.</s>
"Summarize the following conversation: #Person1#: I always think everybody looks down on me #Person2#: Don't be that negative. #Person1#: How can you be optimistic? You can see it in their eyes. #Person2#: I find it there is no meaning in living this world. #Person1#: Don't be that negative. #Person2#: Really, life is so boring. Summary:",<pad> #Person1: I never think everyone looks down on me. #Person2: I don't believe that everything is the same however others do.</s>,<pad> Person 1: You see it indoors and any day I never ask a person I like being negative</s>
"Summarize the following conversation: #Person1#: Jane, have you got time this evening? #Person2#: Not really, I'm afraid. But I'll be free tomorrow. #Person1#: Well, I'll be busy then. Maybe another time, I'll ring up to see if you are not engaged in anything later. #Person2#: Sure. See you. Summary:","<pad> #Person1#: Jane, do you have an event on tomorrow after work? #Person2#: Um, I think I'll be torn this evening and tomorrow.</s>",<pad> #Person1Zegerred it over with #Person2SoloundHe Yes!</s>
"Summarize the following conversation: #Person1#: Susan, do you think we could study together sometime this weekend? #Person2#: I don't see why not. Are you doing anything on tomorrow night? #Person1#: I can't on tomorrow. I'm going out with some friends. #Person2#: Well, how about the following night? #Person1#: No, I can't on Saturday either. My sister and her husband are coming to town and I want to show them around. #Person2#: Sunday, then? #Person1#: Well, I'll probably sleep all morning and in the afternoon I want to go to the football game. #Person2#: Michael, that leaves Monday, the night before the test. #Person1#: Actually, I've got plans for Monday night too. How about early Tuesday morning? #Person2#: Michael, the test is on Tuesday morning. Summary:","<pad> No, we can't for the night this evening, either. Have you two planned together?</s>",<pad> Employee1: Please study this weekend by submitting paper M-5 to the school newspaper.</s>
"Summarize the following conversation: #Person1#: They're here! Now that's speedy service! And they arrived within two days of each other! #Person2#: What are you waiting for? Rip ' em open! #Person1#: Wow... this shirt is nice, but looks big. #Person2#: It's nice, but how much did you end up paying? #Person1#: With the shipping included--seventy dollars. #Person2#: Hmm... not so hot. They sell them here for about that. Summary:",<pad> Messaged to the customer by the manager Brian Adams to give them their agreed shipping and arrival start times. Brian's part in their buying process with the store's staff. Brian got a great shirt and arrived within two days. He is excited to see that they can now both help him find what he was looking for. One customer went through their time comparing potential customers and demand a certain moment of time. The outstanding response of Captain Roberts on leadership develops the strength of the line.</s>,"<pad> If you are looking at mobile equipment in a classroom then what did you get? Learn how to, buy, wash or explain anything about Mobile Computers and create or store Virtual Computers, make videos, according to the dictionary in the library from any app or online according to your walking gait towards your faster, live http:// Knowledgebase. This article feeds back.</s>"
"Summarize the following conversation: #Person1#: How's your father been? #Person2#: He's been out of work for a couple of days. #Person1#: What's wrong with him? #Person2#: He has a bad cold. #Person1#: Well, tell him to take it easy and that I hope he feels better. #Person2#: Thanks. I'll tell him. Summary:",<pad> It is their father's bad cold.</s>,<pad> A friend of the donor recommended that a person should take precautions to avoid his patient telling them he lost balance in payments which might include a disputed sliding scale.</s>
